t_s,ch,vbus_V,current_A,power_W
3551.250366,0,5.997852,-0.0003320,-0.0019913
3551.251424,0,5.998828,0.0002920,0.0017517
3551.252482,0,6.000391,-0.0002920,-0.0017521
3551.253597,0,5.998828,-0.0001660,-0.0009958
3551.254656,0,5.995898,-0.0001860,-0.0011152
3551.255715,0,5.996680,-0.0000620,-0.0003718
3551.256830,0,6.000781,-0.0002280,-0.0013682
3551.257888,0,5.998438,-0.0001240,-0.0007438
3551.259003,0,5.996094,-0.0001040,-0.0006236
3551.260061,0,5.994922,-0.0000400,-0.0002398
3551.261119,0,5.998242,-0.0001040,-0.0006238
3551.262234,0,5.998828,-0.0003120,-0.0018716
3551.263292,0,5.996484,-0.0001040,-0.0006236
3551.264350,0,5.998438,-0.0000820,-0.0004919
3551.265467,0,6.000195,-0.0003120,-0.0018721
3551.266525,0,5.999023,0.0001660,0.0009958
3551.267640,0,5.999609,0.0003120,0.0018719
3551.268698,0,6.000781,-0.0001240,-0.0007441
3551.269756,0,5.998047,-0.0001040,-0.0006238
3551.270871,0,5.999219,0.0001660,0.0009959
3551.271929,0,5.997070,0.0000400,0.0002399
3551.273044,0,5.998828,0.0000400,0.0002400
3551.274102,0,6.000391,0.0001040,0.0006240
3551.275160,0,6.000195,-0.0001460,-0.0008760
3551.276275,0,5.997070,0.0001460,0.0008756
3551.277333,0,5.995703,-0.0001660,-0.0009953
3551.278391,0,5.999219,0.0000200,0.0001200
3551.279506,0,5.996875,-0.0000820,-0.0004917
3551.280564,0,5.996680,-0.0004780,-0.0028664
3551.281679,0,6.000000,0.0001460,0.0008760
3551.282737,0,5.999219,-0.0003540,-0.0021237
3551.283795,0,6.000000,-0.0000200,-0.0001200
3551.284912,0,5.998828,0.0001240,0.0007439
3551.285970,0,5.996289,-0.0000820,-0.0004917
3551.287028,0,5.999609,-0.0004160,-0.0024958
3551.288144,0,5.999609,0.0001460,0.0008759
3551.289202,0,5.998047,-0.0000400,-0.0002399
3551.290317,0,6.002734,0.0002080,0.0012486
3551.291375,0,5.999805,-0.0000620,-0.0003720
3551.292433,0,6.001367,0.0001240,0.0007442
3551.293548,0,5.996094,-0.0002500,-0.0014990
3551.294606,0,5.997852,-0.0000620,-0.0003719
3551.295723,0,5.997461,0.0001040,0.0006237
3551.296780,0,5.997656,0.0000620,0.0003719
3551.297838,0,5.997461,-0.0003740,-0.0022431
3551.298954,0,5.997852,0.0000620,0.0003719
3551.300011,0,5.999219,-0.0000820,-0.0004919
3551.301127,0,5.999023,0.0001860,0.0011158
3551.302184,0,5.998828,-0.0000400,-0.0002400
3551.303242,0,5.997266,-0.0002700,-0.0016193
3551.304358,0,5.997656,0.0000400,0.0002399
3551.305416,0,5.997461,0.0000200,0.0001199
3551.306531,0,5.999805,-0.0000200,-0.0001200
3551.307589,0,5.996680,0.0000200,0.0001199
3551.308647,0,5.996484,0.0000620,0.0003718
3551.309762,0,5.998047,0.0002920,0.0017514
3551.310820,0,5.998828,-0.0000820,-0.0004919
3551.311878,0,6.001367,-0.0001240,-0.0007442
3551.313997,0,5.997852,0.0000400,0.0002399
3551.315766,0,5.996289,-0.0002280,-0.0013672
3551.317525,0,5.998828,0.0001460,0.0008758
3551.319282,0,5.997266,-0.0002920,-0.0017512
3551.321040,0,5.997461,-0.0001040,-0.0006237
3551.322797,0,6.001953,-0.0002500,-0.0015005
3551.324555,0,5.997266,0.0002080,0.0012474
3551.326313,0,5.999414,0.0002280,0.0013679
3551.327026,0,6.000195,0.0000200,0.0001200
3551.328084,0,5.997461,0.0000000,0.0000000
3551.329199,0,5.997656,-0.0001460,-0.0008757
3551.330257,0,6.000586,-0.0003740,-0.0022442
3551.331314,0,5.997852,-0.0002500,-0.0014995
3551.332430,0,6.001953,0.0001460,0.0008763
3551.333488,0,5.995703,-0.0001660,-0.0009953
3551.334603,0,5.999219,-0.0000820,-0.0004919
3551.335662,0,6.003516,-0.0001240,-0.0007444
3551.336720,0,5.998633,0.0000000,0.0000000
3551.337835,0,5.999414,0.0000400,0.0002400
3551.338893,0,5.997461,-0.0001660,-0.0009956
3551.339951,0,5.998047,0.0000820,0.0004918
3551.341066,0,5.998828,-0.0001040,-0.0006239
3551.342124,0,5.997266,0.0000620,0.0003718
3551.343239,0,5.995703,-0.0002280,-0.0013670
3551.344297,0,5.998242,0.0000400,0.0002399
3551.345356,0,6.001563,-0.0005000,-0.0030008
3551.346473,0,5.995703,-0.0000400,-0.0002398
3551.347530,0,6.001758,-0.0000400,-0.0002401
3551.348646,0,5.994336,-0.0002700,-0.0016185
3551.349704,0,5.995898,-0.0003120,-0.0018707
3551.350761,0,6.001172,-0.0001660,-0.0009962
3551.351877,0,5.996094,0.0002280,0.0013671
3551.352934,0,5.995313,0.0002080,0.0012470
3551.353992,0,5.996484,-0.0001660,-0.0009954
3551.355109,0,5.996484,-0.0001240,-0.0007436
3551.356167,0,5.998438,-0.0002500,-0.0014996
3551.357283,0,5.998047,-0.0001040,-0.0006238
3551.358340,0,6.000781,-0.0000620,-0.0003720
3551.359398,0,6.001953,-0.0001240,-0.0007442
3551.360513,0,5.999023,0.0000000,0.0000000
3551.361571,0,5.998828,0.0000400,0.0002400
3551.362629,0,5.997656,0.0000400,0.0002399
3551.363744,0,5.999414,-0.0003320,-0.0019918
3551.364802,0,5.996484,0.0000620,0.0003718
