t_s,ch,vbus_V,current_A,power_W
3618.418930,0,5.998633,-0.0000720,-0.0004319
3618.550781,0,5.999023,-0.0000900,-0.0005399
3618.682560,0,5.998633,-0.0000460,-0.0002759
3618.814395,0,5.998633,-0.0000780,-0.0004679
3618.946232,0,5.999023,-0.0001040,-0.0006239
3619.078072,0,5.998828,-0.0000300,-0.0001800
3619.209908,0,5.998633,-0.0000380,-0.0002279
3619.341714,0,5.999219,-0.0000540,-0.0003240
3619.473554,0,5.998828,-0.0001720,-0.0010318
3619.605391,0,5.998633,-0.0000320,-0.0001920
3619.737199,0,5.999023,-0.0001140,-0.0006839
3619.869036,0,5.998633,-0.0001140,-0.0006838
3620.000880,0,5.998633,-0.0001120,-0.0006718
3620.132713,0,5.999023,-0.0000820,-0.0004919
3620.264553,0,5.998828,-0.0000280,-0.0001680
3620.396390,0,5.998633,-0.0000980,-0.0005879
3620.529634,0,5.999023,-0.0000500,-0.0003000
3620.660043,0,5.999219,0.0000320,0.0001920
3620.791845,0,5.999219,-0.0001500,-0.0008999
3620.923649,0,5.998633,-0.0000700,-0.0004199
3621.055486,0,5.998633,-0.0000720,-0.0004319
3621.187341,0,5.998633,-0.0000200,-0.0001200
3621.319175,0,5.999023,-0.0000240,-0.0001440
3621.450998,0,5.998828,-0.0000420,-0.0002520
3621.582834,0,5.998828,-0.0000580,-0.0003479
3621.714671,0,5.998633,-0.0000680,-0.0004079
3621.846507,0,5.998828,-0.0000760,-0.0004559
3621.978283,0,5.999023,-0.0000140,-0.0000840
3622.110133,0,5.999023,-0.0000260,-0.0001560
3622.241970,0,5.998828,-0.0000600,-0.0003599
3622.373814,0,5.998438,0.0000020,0.0000120
3622.505597,0,5.999023,-0.0001080,-0.0006479
3622.637859,0,5.998828,-0.0000640,-0.0003839
3622.769293,0,5.999023,-0.0000300,-0.0001800
3622.901129,0,5.998633,-0.0000420,-0.0002519
3623.032915,0,5.998828,-0.0000540,-0.0003239
3623.164753,0,5.999023,-0.0000460,-0.0002760
3623.296582,0,5.998828,-0.0001080,-0.0006479
3623.428418,0,5.998633,-0.0000580,-0.0003479
3623.560247,0,5.998633,-0.0000860,-0.0005159
3623.692085,0,5.998828,-0.0000700,-0.0004199
3623.823926,0,5.998633,-0.0000960,-0.0005759
3623.955765,0,5.998828,-0.0000560,-0.0003359
3624.087599,0,5.999023,-0.0001080,-0.0006479
3624.219376,0,5.999023,-0.0000940,-0.0005639
3624.351208,0,5.998828,-0.0000780,-0.0004679
3624.483066,0,5.998828,-0.0000700,-0.0004199
3624.614900,0,5.999219,-0.0000720,-0.0004319
3624.746742,0,5.999023,-0.0000380,-0.0002280
3624.878546,0,5.998633,-0.0000640,-0.0003839
3625.010381,0,5.999023,-0.0000120,-0.0000720
3625.142190,0,5.999023,-0.0000980,-0.0005879
3625.274047,0,5.998633,-0.0001360,-0.0008158
