t_s,current_A_mean,current_A_max,vbus_V_min
176,0.00001902,0.001217,6.3131
177,0.00002861,0.000963,6.3125
178,0.00002980,0.001213,6.3135
179,0.00003446,0.001023,6.3117
180,0.00002362,0.001201,6.3141
181,0.00003461,0.001123,6.3150
182,0.00002631,0.001535,6.3162
183,0.00002239,0.001437,6.3139
184,0.00002912,0.001443,6.3156
185,0.00003683,0.001259,6.3145
186,0.00002629,0.000859,6.3148
187,0.00003888,0.001249,6.3162
188,0.00002038,0.000879,6.3146
189,0.00002791,0.000791,6.3137
190,0.00004505,0.001879,6.3160
191,0.00002655,0.001525,6.3156
192,0.00003700,0.001161,6.3135
193,0.00002043,0.000723,6.3127
194,0.00002750,0.001411,6.3143
195,0.00001680,0.001229,6.3148
196,0.00003741,0.000869,6.3145
197,0.00003786,0.001469,6.3143
198,0.00002537,0.001489,6.3152
199,0.00003708,0.001427,6.3152
200,0.00002816,0.001551,6.3121
201,0.00003661,0.002063,6.3160
202,0.00003508,0.001245,6.3141
203,0.00002599,0.001813,6.3121
204,0.00003297,0.001301,6.3137
205,0.00002903,0.001463,6.3170
206,0.00002873,0.001499,6.3150
207,0.00003298,0.000609,6.3139
208,0.00003395,0.001463,6.3162
209,0.00004552,0.001379,6.3158
210,0.00002399,0.001141,6.3143
211,0.00003329,0.001437,6.3148
212,0.00002757,0.001343,6.3148
213,0.00002110,0.000817,6.3139
214,0.00003102,0.000993,6.3162
215,0.00003095,0.001181,6.3145
216,0.00002260,0.001177,6.3145
217,0.00002446,0.000571,6.3137
218,0.00003796,0.001671,6.3158
219,0.00003390,0.001609,6.3146
220,0.00002492,0.001101,6.3127
221,0.00002957,0.001119,6.3164
222,0.00002577,0.001269,6.3168
223,0.00003293,0.001077,6.3133
224,0.00001579,0.000687,6.3145
225,0.00003397,0.001217,6.3148
226,0.00002411,0.000603,6.3148
227,0.00003055,0.001307,6.3143
228,0.00004298,0.001531,6.3123
229,0.00003929,0.001281,6.3148
230,0.00002616,0.000837,6.3143
231,0.00003875,0.000791,6.3137
232,0.00003194,0.000795,6.3139
233,0.00003310,0.001363,6.3156
234,0.00003718,0.000993,6.3145
235,0.00002584,0.000951,6.3135
236,0.00003093,0.001463,6.3166
237,0.00003149,0.001457,6.3150
238,0.00003550,0.001865,6.3127
239,0.00001861,0.000583,6.3143
240,0.00002818,0.000957,6.3125
241,0.00001865,0.001201,6.3143
242,0.00004816,0.001359,6.3135
243,0.00003236,0.001301,6.3154
244,0.00002897,0.001087,6.3141
245,0.00003056,0.000665,6.3129
246,0.00003206,0.001649,6.3146
247,0.00003525,0.001359,6.3139
248,0.00002861,0.001415,6.3141
249,0.00004003,0.000977,6.3150
250,0.00003226,0.000909,6.3143
251,0.00002954,0.001107,6.3145
252,0.00002623,0.001353,6.3148
253,0.00002001,0.001099,6.3137
254,0.00002495,0.001307,6.3150
255,0.00001669,0.001191,6.3145
256,0.00003739,0.001745,6.3152
257,0.00003971,0.001531,6.3146
258,0.00003811,0.001275,6.3166
259,0.00004258,0.001181,6.3166
260,0.00003303,0.001469,6.3154
261,0.00003051,0.001395,6.3168
262,0.00003520,0.001521,6.3168
263,0.00002645,0.000983,6.3127
264,0.00003500,0.001123,6.3145
265,0.00002656,0.001603,6.3145
266,0.00003693,0.001129,6.3148
267,0.00003995,0.001625,6.3145
268,0.00002426,0.001479,6.3133
269,0.00004992,0.001255,6.3145
270,0.00002937,0.001171,6.3143
271,0.00002935,0.001103,6.3156
272,0.00002698,0.000759,6.3150
273,0.00002412,0.001197,6.3160
274,0.00002682,0.000983,6.3146
275,0.00004745,0.001505,6.3168
276,0.00003705,0.000911,6.3146
277,0.00003039,0.001823,6.3162
278,0.00003397,0.001171,6.3162
279,0.00003729,0.001709,6.3166
280,0.00003572,0.001599,6.3154
281,0.00003745,0.001791,6.3160
282,0.00003829,0.001587,6.3166
283,0.00003218,0.000947,6.3139
284,0.00002777,0.000931,6.3143
285,0.00003671,0.000869,6.3152
286,0.00002949,0.001395,6.3152
287,0.00004850,0.000973,6.3127
288,0.00003290,0.001509,6.3148
289,0.00003174,0.000873,6.3137
290,0.00002463,0.001051,6.3137
291,0.00003095,0.001009,6.3146
292,0.00002966,0.001489,6.3162
293,0.00003478,0.000935,6.3137
294,0.00003372,0.001271,6.3162
295,0.00002882,0.001071,6.3145
296,0.00003547,0.001145,6.3152
297,0.00003166,0.001557,6.3145
298,0.00003549,0.001605,6.3158
299,0.00003088,0.001161,6.3152
300,0.00003224,0.001191,6.3160
301,0.00003167,0.001359,6.3154
302,0.00003545,0.000951,6.3141
303,0.00003888,0.000729,6.3135
304,0.00001942,0.001555,6.3158
305,0.00004374,0.000989,6.3137
306,0.00003421,0.001025,6.3141
307,0.00002855,0.001265,6.3166
308,0.00003482,0.001109,6.3166
309,0.00003002,0.001375,6.3148
310,0.00004063,0.001687,6.3152
311,0.00002984,0.001149,6.3152
