t_s,ch,vbus_V,current_A,power_W
3429.664866,0,5.998828,-0.0000500,-0.0002999
3429.796654,0,5.998633,-0.0000620,-0.0003719
3429.928489,0,5.998828,-0.0000600,-0.0003599
3430.060333,0,5.999023,-0.0000400,-0.0002400
3430.192170,0,5.998633,-0.0000340,-0.0002040
3430.324329,0,5.998828,-0.0000260,-0.0001560
3430.455808,0,5.999023,0.0000300,0.0001800
3430.587643,0,5.999023,-0.0000740,-0.0004439
3430.719495,0,5.998633,-0.0000340,-0.0002040
3430.851276,0,5.999023,-0.0000640,-0.0003839
3430.983154,0,5.998828,-0.0000380,-0.0002280
3431.114991,0,5.998633,-0.0000660,-0.0003959
3431.246770,0,5.998828,-0.0000340,-0.0002040
3431.378606,0,5.998828,-0.0000480,-0.0002879
3431.510426,0,5.998828,0.0001220,0.0007319
3431.642290,0,5.998828,-0.0000360,-0.0002160
3431.774125,0,5.998828,-0.0000740,-0.0004439
3431.905924,0,5.999023,-0.0000960,-0.0005759
3432.037768,0,5.999219,-0.0000640,-0.0003840
3432.169572,0,5.999219,-0.0000560,-0.0003360
3432.301407,0,5.998828,-0.0000300,-0.0001800
3432.433249,0,5.998828,-0.0000040,-0.0000240
3432.565069,0,5.998828,0.0000660,0.0003959
3432.696906,0,5.999023,-0.0000660,-0.0003959
3432.828709,0,5.999023,-0.0000520,-0.0003119
3432.960544,0,5.998828,-0.0000760,-0.0004559
3433.092404,0,5.999023,-0.0000400,-0.0002400
3433.224237,0,5.998828,-0.0000620,-0.0003719
3433.356015,0,5.999023,-0.0000740,-0.0004439
3433.487870,0,5.998828,0.0000840,0.0005039
3433.619732,0,5.998828,-0.0000620,-0.0003719
3433.751519,0,5.998828,-0.0000680,-0.0004079
3433.883355,0,5.999023,-0.0000560,-0.0003359
3434.015179,0,5.998828,-0.0000140,-0.0000840
3434.147015,0,5.998828,-0.0000560,-0.0003359
3434.278847,0,5.998828,-0.0000660,-0.0003959
3434.410684,0,5.998828,-0.0000420,-0.0002520
3434.542503,0,5.998828,0.0000080,0.0000480
3434.674342,0,5.998828,-0.0000340,-0.0002040
3434.806177,0,5.999023,-0.0000580,-0.0003479
3434.937975,0,5.998633,-0.0000560,-0.0003359
3435.069779,0,5.999219,-0.0000480,-0.0002880
3435.201624,0,5.998828,-0.0000340,-0.0002040
3435.333461,0,5.999023,-0.0000300,-0.0001800
3435.465296,0,5.999023,-0.0000480,-0.0002880
3435.597134,0,5.998438,-0.0000260,-0.0001560
3435.728927,0,5.998438,-0.0000640,-0.0003839
3435.860764,0,5.998633,-0.0000560,-0.0003359
3435.992599,0,5.999023,-0.0000360,-0.0002160
3436.124435,0,5.998633,-0.0000440,-0.0002639
3436.256268,0,5.999023,-0.0000820,-0.0004919
3436.388076,0,5.998633,-0.0000740,-0.0004439
3436.519913,0,5.999023,0.0001080,0.0006479
3436.651763,0,5.998438,-0.0000520,-0.0003119
3436.783599,0,5.998828,-0.0000640,-0.0003839
3436.916786,0,5.998828,-0.0000520,-0.0003119
3437.047210,0,5.998828,-0.0000500,-0.0002999
3437.179046,0,5.998828,-0.0000560,-0.0003359
